ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,obsdate,obsjd,exptime,filefracday,seeing,airmass,maglimit,crval1,crval2
165.77833063,38.10620769,0,713,3,1,8,1,zg,2019-01-26 12:09:47.856+00,2458510.006794,30.0,20190126506794,3.42319,1.069,19.9467,165.7782898718,38.10616260132
165.77645868,38.10631204,0,713,3,1,8,1,zg,2019-01-28 10:20:30.726+00,2458511.9309028,30.0,20190128430903,2.40286,1.008,20.8506,165.7764162232,38.10628199117
165.77672793,38.10620048,0,713,3,1,8,1,zg,2019-01-28 10:21:49.585+00,2458511.9318171,30.0,20190128431817,2.31495,1.008,20.8593,165.776696841,38.10617218104
165.78193916,38.1108606,100663296,713,3,1,8,1,zg,2019-01-29 09:52:27.461+00,2458512.9114236,30.0,20190129411377,1.89529,1.012,19.779,165.7819001642,38.1108290736
165.78058986,38.11421721,67108864,713,3,1,8,1,zg,2019-01-30 09:27:45.246+00,2458513.8942708,30.0,20190130394248,1.77147,1.022,21.3171,165.7805476965,38.11417789833
165.77917604,38.12059441,100663296,713,3,1,8,1,zg,2019-01-31 11:10:33.377+00,2458514.9656597,30.0,20190131465544,1.9584,1.029,18.7111,165.7791480192,38.1205647608
165.77879061,38.12054123,100663296,713,3,1,8,1,zg,2019-01-31 11:11:53.942+00,2458514.9665856,30.0,20190131466574,1.95366,1.03,19.0032,165.7787608627,38.12052230285
165.77276375,38.12368102,0,713,3,1,8,1,zg,2019-02-08 10:06:29.31+00,2458522.921169,30.0,20190208421146,2.0822,1.012,21.3199,165.7727273735,38.12364669678
165.77415159,38.12195678,0,713,3,1,8,1,zg,2019-02-12 10:14:01.64+00,2458526.9264005,30.0,20190212426389,2.85876,1.022,20.1919,165.7741164159,38.1219344822
165.76802193,38.11659138,67108864,713,3,1,8,1,zg,2019-02-20 06:38:02.888+00,2458534.776412,30.0,20190220276412,2.43424,1.132,19.3448,165.767984552,38.11655691659
165.76968439,38.11125584,67108864,713,3,1,8,1,zg,2019-02-24 06:45:22.181+00,2458538.7815046,30.0,20190224281435,2.06406,1.091,19.555,165.7696462242,38.11122047301
165.77733488,38.10846008,100663296,713,3,1,8,1,zg,2019-02-27 06:26:30.09+00,2458541.7684028,30.0,20190227268391,2.20135,1.102,20.1113,165.777293699,38.10841788759
165.78144483,38.11298437,67108864,713,3,1,8,1,zg,2019-03-18 06:25:53.909+00,2458560.7679745,30.0,20190318267917,3.31613,1.021,19.3781,165.7814038107,38.11295104264
165.78102396,38.10709952,0,713,3,1,8,1,zg,2019-03-25 06:21:00.098+00,2458567.7645833,30.0,20190325264387,1.86204,1.011,21.226,165.7809756038,38.10705964816
